Name,Type,Syntax,Description,Link
SORTBY,Lookup and reference,"SORTBY(array, by_array1, [sort_order1], [by_array2, sort_order2],…) ",Sorts the contents of a range or array based on the values in a corresponding range or array,https://support.microsoft.com/en-us/office/sortby-function-cd2d7a62-1b93-435c-b561-d6a35134f28f
SQRT,Math and trigonometry,SQRT(number),Returns a positive square root,https://support.microsoft.com/en-us/office/sqrt-function-654975c2-05c4-4831-9a24-2c65e4040fdf
SQRTPI,Math and trigonometry,SQRTPI(number),Returns the square root of (number * pi),https://support.microsoft.com/en-us/office/sqrtpi-function-1fb4e63f-9b51-46d6-ad68-b3e7a8b519b4
STANDARDIZE,Statistical,"STANDARDIZE(x, mean, standard_dev)",Returns a normalized value,https://support.microsoft.com/en-us/office/standardize-function-81d66554-2d54-40ec-ba83-6437108ee775
STOCKHISTORY,Financial,"STOCKHISTORY(stock, start_date, [end_date], [interval], [headers], [property0], [property1], [property2], [property3], [property4], [property5])",Retrieves historical data about a financial instrument,https://support.microsoft.com/en-us/office/stockhistory-function-1ac8b5b3-5f62-4d94-8ab8-7504ec7239a8
STDEV,Compatibility,"STDEV(number1,[number2],...)",Estimates standard deviation based on a sample,https://support.microsoft.com/en-us/office/stdev-function-51fecaaa-231e-4bbb-9230-33650a72c9b0
STDEV.P,Statistical,"STDEV.P(number1,[number2],...)",Calculates standard deviation based on the entire population,https://support.microsoft.com/en-us/office/stdev-p-function-6e917c05-31a0-496f-ade7-4f4e7462f285
STDEV.S,Statistical,"STDEV.S(number1,[number2],...)",Estimates standard deviation based on a sample,https://support.microsoft.com/en-us/office/stdev-s-function-7d69cf97-0c1f-4acf-be27-f3e83904cc23
STDEVA,Statistical,"STDEVA(value1, [value2], ...)","Estimates standard deviation based on a sample, including numbers, text, and logical values",https://support.microsoft.com/en-us/office/stdeva-function-5ff38888-7ea5-48de-9a6d-11ed73b29e9d
STDEVP,Compatibility,"STDEVP(number1,[number2],...)",Calculates standard deviation based on the entire population,https://support.microsoft.com/en-us/office/stdevp-function-1f7c1c88-1bec-4422-8242-e9f7dc8bb195
STDEVPA,Statistical,"STDEVPA(value1, [value2], ...)","Calculates standard deviation based on the entire population, including numbers, text, and logical values",https://support.microsoft.com/en-us/office/stdevpa-function-5578d4d6-455a-4308-9991-d405afe2c28c
STEYX,Statistical,"STEYX(known_y's, known_x's)",Returns the standard error of the predicted y-value for each x in the regression,https://support.microsoft.com/en-us/office/steyx-function-6ce74b2c-449d-4a6e-b9ac-f9cef5ba48ab
SUBSTITUTE,Text,"SUBSTITUTE(text, old_text, new_text, [instance_num])",Substitutes new text for old text in a text string,https://support.microsoft.com/en-us/office/substitute-function-6434944e-a904-4336-a9b0-1e58df3bc332
SUBTOTAL,Math and trigonometry,"SUBTOTAL(function_num,ref1,[ref2],...)",Returns a subtotal in a list or database,https://support.microsoft.com/en-us/office/subtotal-function-7b027003-f060-4ade-9040-e478765b9939
SUM,Math and trigonometry,"SUM(number1,[number2],...) ",Adds its arguments,https://support.microsoft.com/en-us/office/sum-function-043e1c7d-7726-4e80-8f32-07b23e057f89
SUMIF,Math and trigonometry,"SUMIF(range, criteria, [sum_range])",Adds the cells specified by a given criteria,https://support.microsoft.com/en-us/office/sumif-function-169b8c99-c05c-4483-a712-1697a653039b
SUMIFS,Math and trigonometry,"SUMIFS(sum_range, criteria_range1, criteria1, [criteria_range2, criteria2], ...)",Adds the cells in a range that meet multiple criteria,https://support.microsoft.com/en-us/office/sumifs-function-c9e748f5-7ea7-455d-9406-611cebce642b
SUMPRODUCT,Math and trigonometry,"SUMPRODUCT(array1, [array2], [array3], ...) ",Returns the sum of the products of corresponding array components,https://support.microsoft.com/en-us/office/sumproduct-function-16753e75-9f68-4874-94ac-4d2145a2fd2e
SUMSQ,Math and trigonometry,"SUMSQ(number1, [number2], ...)",Returns the sum of the squares of the arguments,https://support.microsoft.com/en-us/office/sumsq-function-e3313c02-51cc-4963-aae6-31442d9ec307
SUMX2MY2,Math and trigonometry,"SUMX2MY2(array_x, array_y)",Returns the sum of the difference of squares of corresponding values in two arrays,https://support.microsoft.com/en-us/office/sumx2my2-function-9e599cc5-5399-48e9-a5e0-e37812dfa3e9
SUMX2PY2,Math and trigonometry,"SUMX2PY2(array_x, array_y)",Returns the sum of the sum of squares of corresponding values in two arrays,https://support.microsoft.com/en-us/office/sumx2py2-function-826b60b4-0aa2-4e5e-81d2-be704d3d786f
SUMXMY2,Math and trigonometry,"SUMXMY2(array_x, array_y)",Returns the sum of squares of differences of corresponding values in two arrays,https://support.microsoft.com/en-us/office/sumxmy2-function-9d144ac1-4d79-43de-b524-e2ecee23b299
SWITCH,Logical,"SWITCH(expression, value1, result1, [default or value2, result2],…[default or value3, result3])","Evaluates an expression against a list of values and returns the result corresponding to the first matching value. If there is no match, an optional default value may be returned.",https://support.microsoft.com/en-us/office/switch-function-47ab33c0-28ce-4530-8a45-d532ec4aa25e
SYD,Financial,"SYD(cost, salvage, life, per)",Returns the sum-of-years' digits depreciation of an asset for a specified period,https://support.microsoft.com/en-us/office/syd-function-069f8106-b60b-4ca2-98e0-2a0f206bdb27
T,Text,T(value),Converts its arguments to text,https://support.microsoft.com/en-us/office/t-function-fb83aeec-45e7-4924-af95-53e073541228
TAN,Math and trigonometry,TAN(number),Returns the tangent of a number,https://support.microsoft.com/en-us/office/tan-function-08851a40-179f-4052-b789-d7f699447401
TANH,Math and trigonometry,TANH(number),Returns the hyperbolic tangent of a number,https://support.microsoft.com/en-us/office/tanh-function-017222f0-a0c3-4f69-9787-b3202295dc6c
TAKE,Lookup and reference,"TAKE(array, rows,[columns])",Returns a specified number of contiguous rows or columns from the start or end of an array,https://support.microsoft.com/en-us/office/take-function-25382ff1-5da1-4f78-ab43-f33bd2e4e003
TBILLEQ,Financial,"TBILLEQ(settlement, maturity, discount)",Returns the bond-equivalent yield for a Treasury bill,https://support.microsoft.com/en-us/office/tbilleq-function-2ab72d90-9b4d-4efe-9fc2-0f81f2c19c8c
TBILLPRICE,Financial,"TBILLPRICE(settlement, maturity, discount)",Returns the price per $100 face value for a Treasury bill,https://support.microsoft.com/en-us/office/tbillprice-function-eacca992-c29d-425a-9eb8-0513fe6035a2
TBILLYIELD,Financial,"TBILLYIELD(settlement, maturity, pr)",Returns the yield for a Treasury bill,https://support.microsoft.com/en-us/office/tbillyield-function-6d381232-f4b0-4cd5-8e97-45b9c03468ba
T.DIST,Statistical,"T.DIST(x,deg_freedom, cumulative)",Returns the Percentage Points (probability) for the Student t-distribution,https://support.microsoft.com/en-us/office/t-dist-function-4329459f-ae91-48c2-bba8-1ead1c6c21b2
T.DIST.2T,Statistical,"T.DIST.2T(x,deg_freedom)",Returns the Percentage Points (probability) for the Student t-distribution,https://support.microsoft.com/en-us/office/t-dist-2t-function-198e9340-e360-4230-bd21-f52f22ff5c28
T.DIST.RT,Statistical,"T.DIST.RT(x,deg_freedom)",Returns the Student's t-distribution,https://support.microsoft.com/en-us/office/t-dist-rt-function-20a30020-86f9-4b35-af1f-7ef6ae683eda
TDIST,Compatibility,"TDIST(x,deg_freedom,tails)",Returns the Student's t-distribution,https://support.microsoft.com/en-us/office/tdist-function-630a7695-4021-4853-9468-4a1f9dcdd192
TEXT,Text,"TEXT(value, format_text)",Formats a number and converts it to text,https://support.microsoft.com/en-us/office/text-function-20d5ac4d-7b94-49fd-bb38-93d29371225c
TEXTAFTER,Text,"TEXTAFTER(text,delimiter,[instance_num], [match_mode], [match_end], [if_not_found])",Returns text that occurs after given character or string,https://support.microsoft.com/en-us/office/textafter-function-c8db2546-5b51-416a-9690-c7e6722e90b4
TEXTBEFORE,Text,"TEXTBEFORE(text,delimiter,[instance_num], [match_mode], [match_end], [if_not_found])",Returns text that occurs before a given character or string,https://support.microsoft.com/en-us/office/textbefore-function-d099c28a-dba8-448e-ac6c-f086d0fa1b29
TEXTJOIN,Text,"TEXTJOIN(delimiter, ignore_empty, text1, [text2], …)",Combines the text from multiple ranges and/or strings,https://support.microsoft.com/en-us/office/textjoin-function-357b449a-ec91-49d0-80c3-0e8fc845691c
TEXTSPLIT,Text,"TEXTSPLIT(text,col_delimiter,[row_delimiter],[ignore_empty], [match_mode], [pad_with])",Splits text strings by using column and row delimiters,https://support.microsoft.com/en-us/office/textsplit-function-b1ca414e-4c21-4ca0-b1b7-bdecace8a6e7
TIME,Date and time,"TIME(hour, minute, second)",Returns the serial number of a particular time,https://support.microsoft.com/en-us/office/time-function-9a5aff99-8f7d-4611-845e-747d0b8d5457
TIMEVALUE,Date and time,TIMEVALUE(time_text),Converts a time in the form of text to a serial number,https://support.microsoft.com/en-us/office/timevalue-function-0b615c12-33d8-4431-bf3d-f3eb6d186645
T.INV,Statistical,"T.INV(probability,deg_freedom)",Returns the t-value of the Student's t-distribution as a function of the probability and the degrees of freedom,https://support.microsoft.com/en-us/office/t-inv-function-2908272b-4e61-4942-9df9-a25fec9b0e2e
T.INV.2T,Statistical,"T.INV.2T(probability,deg_freedom)",Returns the inverse of the Student's t-distribution,https://support.microsoft.com/en-us/office/t-inv-2t-function-ce72ea19-ec6c-4be7-bed2-b9baf2264f17
TINV,Compatibility,"TINV(probability,deg_freedom)",Returns the inverse of the Student's t-distribution,https://support.microsoft.com/en-us/office/tinv-function-a7c85b9d-90f5-41fe-9ca5-1cd2f3e1ed7c
TOCOL,Lookup and reference,"TOCOL(array, [ignore], [scan_by_column])",Returns the array in a single column,https://support.microsoft.com/en-us/office/tocol-function-22839d9b-0b55-4fc1-b4e6-2761f8f122ed
TOROW,Lookup and reference,"TOROW(array, [ignore], [scan_by_column])",Returns the array in a single row,https://support.microsoft.com/en-us/office/torow-function-b90d0964-a7d9-44b7-816b-ffa5c2fe2289
TODAY,Date and time,TODAY(),Returns the serial number of today's date,https://support.microsoft.com/en-us/office/today-function-5eb3078d-a82c-4736-8930-2f51a028fdd9
TRANSPOSE,Lookup and reference,TRANSPOSE(array),Returns the transpose of an array,https://support.microsoft.com/en-us/office/transpose-function-ed039415-ed8a-4a81-93e9-4b6dfac76027
TREND,Statistical,"TREND(known_y's, [known_x's], [new_x's], [const])",Returns values along a linear trend,https://support.microsoft.com/en-us/office/trend-function-e2f135f0-8827-4096-9873-9a7cf7b51ef1
TRIM,Text,TRIM(text),Removes spaces from text,https://support.microsoft.com/en-us/office/trim-function-410388fa-c5df-49c6-b16c-9e5630b479f9
TRIMMEAN,Statistical,"TRIMMEAN(array, percent)",Returns the mean of the interior of a data set,https://support.microsoft.com/en-us/office/trimmean-function-d90c9878-a119-4746-88fa-63d988f511d3
TRUE,Logical,TRUE(),Returns the logical value TRUE,https://support.microsoft.com/en-us/office/true-function-7652c6e3-8987-48d0-97cd-ef223246b3fb
TRUNC,Math and trigonometry,"TRUNC(number, [num_digits])",Truncates a number to an integer,https://support.microsoft.com/en-us/office/trunc-function-8b86a64c-3127-43db-ba14-aa5ceb292721
T.TEST,Statistical,"T.TEST(array1,array2,tails,type)",Returns the probability associated with a Student's t-test,https://support.microsoft.com/en-us/office/t-test-function-d4e08ec3-c545-485f-962e-276f7cbed055
TTEST,Compatibility,"TTEST(array1,array2,tails,type)",Returns the probability associated with a Student's t-test,https://support.microsoft.com/en-us/office/ttest-function-1696ffc1-4811-40fd-9d13-a0eaad83c7ae
TYPE,Information,TYPE(value),Returns a number indicating the data type of a value,https://support.microsoft.com/en-us/office/type-function-45b4e688-4bc3-48b3-a105-ffa892995899
UNICHAR,Text,UNICHAR(number),Returns the Unicode character that is references by the given numeric value,https://support.microsoft.com/en-us/office/unichar-function-ffeb64f5-f131-44c6-b332-5cd72f0659b8
UNICODE,Text,UNICODE(text),Returns the number (code point) that corresponds to the first character of the text,https://support.microsoft.com/en-us/office/unicode-function-adb74aaa-a2a5-4dde-aff6-966e4e81f16f
UNIQUE,Lookup and reference,"UNIQUE(array,[by_col],[exactly_once])",Returns a list of unique values in a list or range,https://support.microsoft.com/en-us/office/unique-function-c5ab87fd-30a3-4ce9-9d1a-40204fb85e1e
UPPER,Text,UPPER(text),Converts text to uppercase,https://support.microsoft.com/en-us/office/upper-function-c11f29b3-d1a3-4537-8df6-04d0049963d6
VALUE,Text,VALUE(text),Converts a text argument to a number,https://support.microsoft.com/en-us/office/value-function-257d0108-07dc-437d-ae1c-bc2d3953d8c2
VALUETOTEXT,Text,"VALUETOTEXT(value, [format])",Returns text from any specified value,https://support.microsoft.com/en-us/office/valuetotext-function-5fff61a2-301a-4ab2-9ffa-0a5242a08fea
VAR,Compatibility,"VAR(number1,[number2],...)",Estimates variance based on a sample,https://support.microsoft.com/en-us/office/var-function-1f2b7ab2-954d-4e17-ba2c-9e58b15a7da2
VAR.P,Statistical,"VAR.P(number1,[number2],...)",Calculates variance based on the entire population,https://support.microsoft.com/en-us/office/var-p-function-73d1285c-108c-4843-ba5d-a51f90656f3a
VAR.S,Statistical,"VAR.S(number1,[number2],...)",Estimates variance based on a sample,https://support.microsoft.com/en-us/office/var-s-function-913633de-136b-449d-813e-65a00b2b990b
VARA,Statistical,"VARA(value1, [value2], ...)","Estimates variance based on a sample, including numbers, text, and logical values",https://support.microsoft.com/en-us/office/vara-function-3de77469-fa3a-47b4-85fd-81758a1e1d07
VARP,Compatibility,"VARP(number1,[number2],...)",Calculates variance based on the entire population,https://support.microsoft.com/en-us/office/varp-function-26a541c4-ecee-464d-a731-bd4c575b1a6b
VARPA,Statistical,"VARPA(value1, [value2], ...)","Calculates variance based on the entire population, including numbers, text, and logical values",https://support.microsoft.com/en-us/office/varpa-function-59a62635-4e89-4fad-88ac-ce4dc0513b96
VDB,Financial,"VDB(cost, salvage, life, start_period, end_period, [factor], [no_switch])",Returns the depreciation of an asset for a specified or partial period by using a declining balance method,https://support.microsoft.com/en-us/office/vdb-function-dde4e207-f3fa-488d-91d2-66d55e861d73
VLOOKUP,Lookup and reference,"VLOOKUP (lookup_value, table_array, col_index_num, [range_lookup]) ",Looks in the first column of an array and moves across the row to return the value of a cell,https://support.microsoft.com/en-us/office/vlookup-function-0bbc8083-26fe-4963-8ab8-93a18ad188a1
VSTACK,Look and reference,"VSTACK(array1,[array2],...)",Appends arrays vertically and in sequence to return a larger array,https://support.microsoft.com/en-us/office/vstack-function-a4b86897-be0f-48fc-adca-fcc10d795a9c
WEBSERVICE,Web,WEBSERVICE(url),Returns data from a web service.This function is not available in Excel for the web.,https://support.microsoft.com/en-us/office/webservice-function-0546a35a-ecc6-4739-aed7-c0b7ce1562c4
WEEKDAY,Date and time,"WEEKDAY(serial_number,[return_type])",Converts a serial number to a day of the week,https://support.microsoft.com/en-us/office/weekday-function-60e44483-2ed1-439f-8bd0-e404c190949a
WEEKNUM,Date and time,"WEEKNUM(serial_number,[return_type])",Converts a serial number to a number representing where the week falls numerically with a year,https://support.microsoft.com/en-us/office/weeknum-function-e5c43a03-b4ab-426c-b411-b18c13c75340
WEIBULL,Compatibility,"WEIBULL(x,alpha,beta,cumulative)","Calculates variance based on the entire population, including numbers, text, and logical values",https://support.microsoft.com/en-us/office/weibull-function-b83dc2c6-260b-4754-bef2-633196f6fdcc
WEIBULL.DIST,Statistical,"WEIBULL.DIST(x,alpha,beta,cumulative)",Returns the Weibull distribution,https://support.microsoft.com/en-us/office/weibull-dist-function-4e783c39-9325-49be-bbc9-a83ef82b45db
WORKDAY,Date and time,"WORKDAY(start_date, days, [holidays])",Returns the serial number of the date before or after a specified number of workdays,https://support.microsoft.com/en-us/office/workday-function-f764a5b7-05fc-4494-9486-60d494efbf33
WORKDAY.INTL,Date and time,"WORKDAY.INTL(start_date, days, [weekend], [holidays])",Returns the serial number of the date before or after a specified number of workdays using parameters to indicate which and how many days are weekend days,https://support.microsoft.com/en-us/office/workday-intl-function-a378391c-9ba7-4678-8a39-39611a9bf81d
WRAPCOLS,Look and reference,"WRAPCOLS(vector, wrap_count, [pad_with])",Wraps the provided row or column of values by columns after a specified number of elements,https://support.microsoft.com/en-us/office/wrapcols-function-d038b05a-57b7-4ee0-be94-ded0792511e2
WRAPROWS,Look and reference,"WRAPROWS(vector, wrap_count, [pad_with])",Wraps the provided row or column of values by rows after a specified number of elements,https://support.microsoft.com/en-us/office/wraprows-function-796825f3-975a-4cee-9c84-1bbddf60ade0
XIRR,Financial,"XIRR(values, dates, [guess])",Returns the internal rate of return for a schedule of cash flows that is not necessarily periodic,https://support.microsoft.com/en-us/office/xirr-function-de1242ec-6477-445b-b11b-a303ad9adc9d
XLOOKUP,Lookup and reference,"XLOOKUP(lookup_value, lookup_array, return_array, [if_not_found], [match_mode], [search_mode])","Searches a range or an array, and returns an item corresponding to the first match it finds. If a match doesn't exist, then XLOOKUP can return the closest (approximate) match.",https://support.microsoft.com/en-us/office/xlookup-function-b7fd680e-6d10-43e6-84f9-88eae8bf5929
XMATCH,Lookup and reference,"XMATCH(lookup_value, lookup_array, [match_mode], [search_mode])",Returns the relative position of an item in an array or range of cells.,https://support.microsoft.com/en-us/office/xmatch-function-d966da31-7a6b-4a13-a1c6-5a33ed6a0312
XNPV,Financial,"XNPV(rate, values, dates)",Returns the net present value for a schedule of cash flows that is not necessarily periodic,https://support.microsoft.com/en-us/office/xnpv-function-1b42bbf6-370f-4532-a0eb-d67c16b664b7
XOR,Logical,"XOR(logical1, [logical2],…)",Returns a logical exclusive OR of all arguments,https://support.microsoft.com/en-us/office/xor-function-1548d4c2-5e47-4f77-9a92-0533bba14f37
YEAR,Date and time,YEAR(serial_number),Converts a serial number to a year,https://support.microsoft.com/en-us/office/year-function-c64f017a-1354-490d-981f-578e8ec8d3b9
YEARFRAC,Date and time,"YEARFRAC(start_date, end_date, [basis])",Returns the year fraction representing the number of whole days between start_date and end_date,https://support.microsoft.com/en-us/office/yearfrac-function-3844141e-c76d-4143-82b6-208454ddc6a8
YIELD,Financial,"YIELD(settlement, maturity, rate, pr, redemption, frequency, [basis])",Returns the yield on a security that pays periodic interest,https://support.microsoft.com/en-us/office/yield-function-f5f5ca43-c4bd-434f-8bd2-ed3c9727a4fe
YIELDDISC,Financial,"YIELDDISC(settlement, maturity, pr, redemption, [basis])","Returns the annual yield for a discounted security; for example, a Treasury bill",https://support.microsoft.com/en-us/office/yielddisc-function-a9dbdbae-7dae-46de-b995-615faffaaed7
YIELDMAT,Financial,"YIELDMAT(settlement, maturity, issue, rate, pr, [basis])",Returns the annual yield of a security that pays interest at maturity,https://support.microsoft.com/en-us/office/yieldmat-function-ba7d1809-0d33-4bcb-96c7-6c56ec62ef6f
Z.TEST,Statistical,"Z.TEST(array,x,[sigma])",Returns the one-tailed probability-value of a z-test,https://support.microsoft.com/en-us/office/z-test-function-d633d5a3-2031-4614-a016-92180ad82bee
ZTEST,Compatibility,"ZTEST(array,x,[sigma])",Returns the one-tailed probability-value of a z-test,https://support.microsoft.com/en-us/office/ztest-function-8f33be8a-6bd6-4ecc-8e3a-d9a4420c4a6a
FINDB,Text,"FINDB(find_text, within_text, [start_num])",Finds one text value within another (case-sensitive),https://support.microsoft.com/en-us/office/find-findb-functions-c7912941-af2a-4bdf-a553-d0d89b0a0628
